City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Yar-Sale,RU,66.8333,70.8333,36.36,100,100,10.63,light rain
109,Sao Filipe,CV,14.8961,-24.4956,78.67,61,100,7.72,overcast clouds
110,Cangucu,BR,-31.395,-52.6756,63.61,92,100,5.46,overcast clouds
111,Ponta Do Sol,PT,32.6667,-17.1,72.23,71,20,8.08,few clouds
112,Guane,CU,22.2025,-84.0875,89.53,41,18,2.86,few clouds
113,Lanxi,CN,29.2195,119.477,55.62,94,100,4.14,overcast clouds
114,Hauterive,FR,46.0901,3.4459,74.16,72,100,4.56,overcast clouds
115,Fortuna,US,40.5982,-124.1573,66.92,80,0,12.66,clear sky
116,Hualmay,PE,-11.0964,-77.6139,69.01,72,11,9.19,few clouds
117,Mitsamiouli,KM,-11.3847,43.2844,80.2,70,1,5.17,clear sky
118,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,0,9.22,clear sky
119,Caboolture,AU,-27.0833,152.95,73.35,99,62,3.38,light rain
120,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,78,3.0,broken clouds
121,Tiznit,MA,29.5833,-9.5,72.61,51,91,7.78,overcast clouds
122,Lingao,CN,19.9103,109.6859,77.56,93,24,2.57,few clouds
123,Barrow,US,71.2906,-156.7887,24.82,86,100,14.97,overcast clouds
124,Tiksi,RU,71.6872,128.8694,4.46,99,59,4.63,broken clouds
125,Kodiak,US,57.79,-152.4072,45.91,57,40,14.97,scattered clouds
126,Pangnirtung,CA,66.1451,-65.7125,21.51,90,92,4.32,overcast clouds
127,Brae,GB,60.3964,-1.353,49.86,86,70,9.26,broken clouds
128,Yurino,RU,56.2942,46.3039,46.36,91,79,7.96,broken clouds
129,Biak,ID,-0.9131,122.8766,76.01,85,98,2.1,overcast clouds
130,Altamirano,MX,16.8833,-92.15,78.44,23,11,6.4,few clouds
131,Dingle,PH,10.9995,122.6711,77.54,89,100,3.33,overcast clouds
132,Cedar Rapids,US,42.0083,-91.6441,87.3,29,0,1.99,clear sky
133,Nurota,UZ,40.5614,65.6886,63.77,43,4,4.7,clear sky
134,Skjervoy,NO,70.0311,20.9714,41.0,93,100,3.18,light rain
135,Cabo San Lucas,MX,22.8909,-109.9124,86.61,60,98,5.99,overcast clouds
136,Grunwald,DE,48.0395,11.5232,62.67,69,36,4.61,scattered clouds
137,Tura,IN,25.5198,90.2201,70.25,96,97,6.73,light rain
138,Mastic Beach,US,40.7668,-72.8521,71.71,90,75,9.22,broken clouds
139,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,20,6.91,few clouds
140,San Patricio,US,28.017,-97.5169,93.18,38,2,14.7,clear sky
141,Balad,IQ,34.0164,44.1453,81.86,15,15,11.63,few clouds
142,Faanui,PF,-16.4833,-151.75,81.23,64,0,15.7,clear sky
143,Vagur,FO,61.4732,-6.8119,47.55,91,100,10.6,overcast clouds
144,Barra,BR,-11.0894,-43.1417,89.74,37,100,5.66,overcast clouds
145,Veraval,IN,20.9,70.3667,83.17,81,0,13.42,clear sky
146,Monduli,TZ,-3.3,36.45,60.22,85,6,7.49,clear sky
147,Carnarvon,AU,-24.8667,113.6333,64.29,50,0,17.13,clear sky
148,San Policarpo,PH,12.1791,125.5072,79.52,87,100,11.86,overcast clouds
149,Houma,US,29.5958,-90.7195,86.0,63,65,3.0,broken clouds
150,Tocache,PE,-8.1842,-76.5125,88.45,52,42,0.89,scattered clouds
151,Mersing,MY,2.4312,103.8405,78.71,94,20,5.75,few clouds
152,San,ML,13.3034,-4.8956,98.31,7,100,9.28,overcast clouds
153,Esperance,AU,-33.8667,121.9,57.52,75,57,19.86,broken clouds
154,Bethel,US,41.3712,-73.414,80.19,69,40,13.8,scattered clouds
155,San Quintin,MX,30.4833,-115.95,72.77,51,25,11.01,scattered clouds
156,Brownsville,US,25.9018,-97.4975,92.08,53,40,17.27,smoke
157,Sola,VU,-13.8833,167.55,79.9,70,100,14.61,overcast clouds
158,Nema,RU,57.5067,50.5011,44.58,95,85,6.24,overcast clouds
159,Zhigansk,RU,66.7697,123.3711,19.06,84,11,9.51,few clouds
160,Harer,ET,9.3094,42.1258,63.37,26,55,2.95,broken clouds
161,Husavik,IS,66.0449,-17.3389,41.45,78,80,17.98,broken clouds
162,Meulaboh,ID,4.1363,96.1285,79.77,87,87,2.04,overcast clouds
163,Shingu,JP,33.7333,135.9833,56.34,68,49,6.02,scattered clouds
164,Kiama,AU,-34.6833,150.8667,68.45,90,93,3.0,light rain
165,Kaitangata,NZ,-46.2817,169.8464,44.01,85,100,1.12,overcast clouds
166,Airai,TL,-8.9266,125.4092,61.54,97,73,0.43,broken clouds
167,Maragogi,BR,-9.0122,-35.2225,81.19,76,20,10.13,few clouds
168,Mount Gambier,AU,-37.8333,140.7667,55.42,91,54,8.84,broken clouds
169,Nantucket,US,41.2835,-70.0995,68.14,100,100,9.22,mist
170,Bonthe,SL,7.5264,-12.505,78.73,86,27,8.81,light rain
171,Lebu,CL,-37.6167,-73.65,54.59,73,38,18.92,scattered clouds
172,Thessalon,CA,46.2501,-83.5666,68.29,88,100,7.36,overcast clouds
173,Talnakh,RU,69.4865,88.3972,35.06,99,100,5.77,overcast clouds
174,Dutse,NG,11.7594,9.3392,91.69,25,5,8.68,clear sky
175,Harper,LR,4.375,-7.7169,76.08,87,100,7.43,overcast clouds
176,Sobolevo,RU,54.4299,31.8996,46.54,94,100,9.62,overcast clouds
177,Sisimiut,GL,66.9395,-53.6735,27.72,72,96,12.21,light snow
178,Robertsport,LR,6.7533,-11.3686,82.44,80,97,10.65,overcast clouds
179,Avarua,CK,-21.2078,-159.775,77.05,88,100,25.32,light rain
180,Wattegama,LK,6.7989,81.4808,75.7,89,100,11.77,moderate rain
181,Narsaq,GL,60.9167,-46.05,41.22,68,84,4.99,broken clouds
182,Lompoc,US,34.6391,-120.4579,94.01,55,0,19.57,clear sky
183,Hasaki,JP,35.7333,140.8333,61.2,77,100,25.84,overcast clouds
184,Saskylakh,RU,71.9167,114.0833,21.65,95,100,10.47,overcast clouds
185,Bairiki,KI,1.3292,172.9752,79.72,76,17,7.81,few clouds
186,Chuy,UY,-33.6971,-53.4616,63.72,70,88,7.58,overcast clouds
187,Torbay,CA,47.6666,-52.7314,39.88,83,75,13.8,broken clouds
188,Ust-Omchug,RU,61.15,149.6333,28.8,93,100,2.82,overcast clouds
189,Huanan,CN,46.2167,130.5167,42.91,62,25,11.52,scattered clouds
190,Isoka,ZM,-10.1606,32.6335,58.24,77,0,2.13,clear sky
191,Diofior,SN,14.1833,-16.6667,78.69,62,0,14.41,clear sky
192,Batagay,RU,67.6333,134.6333,19.65,86,100,4.05,overcast clouds
193,Honningsvag,NO,70.9821,25.9704,38.95,81,96,8.05,overcast clouds
194,Livingston,GB,55.9029,-3.5226,60.28,63,0,5.75,clear sky
195,Georgetown,MY,5.4112,100.3354,85.95,80,20,4.61,few clouds
196,Mar Del Plata,AR,-38.0023,-57.5575,60.94,52,0,13.8,clear sky
197,Nola,IT,40.922,14.5329,69.04,73,0,3.09,clear sky
198,Bumba,CD,2.1833,22.4667,72.03,92,90,0.72,overcast clouds
199,Nuuk,GL,64.1835,-51.7216,25.41,86,100,8.05,overcast clouds
200,Iqaluit,CA,63.7506,-68.5145,22.73,73,75,23.02,light snow
201,Bredasdorp,ZA,-34.5322,20.0403,55.09,78,5,1.01,clear sky
202,Tahoua,NE,14.8888,5.2692,94.01,10,92,8.75,overcast clouds
203,Saint-Augustin,CA,51.226,-58.6502,53.62,55,53,2.04,broken clouds
204,Victoria,HK,22.2855,114.1577,75.96,94,100,18.01,light rain
205,Rivers,CA,50.0308,-100.2403,45.55,78,100,18.72,overcast clouds
206,Angoche,MZ,-16.2325,39.9086,73.69,71,0,6.33,clear sky
207,Requena,ES,39.4883,-1.1004,60.51,64,74,5.88,broken clouds
208,Saint Joseph,US,39.7686,-94.8466,86.56,47,24,6.91,few clouds
209,Acarau,BR,-2.8856,-40.12,82.0,83,87,13.71,overcast clouds
210,Pimentel,PE,-6.8367,-79.9342,73.69,60,0,13.8,clear sky
211,Itaituba,BR,-4.2761,-55.9836,86.16,79,20,11.5,few clouds
212,Tuatapere,NZ,-46.1333,167.6833,44.85,93,100,3.94,overcast clouds
213,Port Elizabeth,ZA,-33.918,25.5701,56.1,87,100,3.44,overcast clouds
214,Rundu,NA,-17.9333,19.7667,64.87,32,5,5.44,clear sky
215,Anori,BR,-3.7728,-61.6442,83.64,85,100,2.98,overcast clouds
216,Sepuka,TZ,-4.75,34.5333,68.79,59,94,10.31,overcast clouds
217,Stadskanaal,NL,52.9833,6.95,62.82,81,85,7.11,overcast clouds
218,Cidreira,BR,-30.1811,-50.2056,65.98,85,100,11.32,light rain
219,Beringovskiy,RU,63.05,179.3167,35.98,96,100,5.75,overcast clouds
220,Ancud,CL,-41.8697,-73.8203,54.75,67,0,3.51,clear sky
221,Leningradskiy,RU,69.3833,178.4167,34.2,89,100,4.18,overcast clouds
222,Hobyo,SO,5.3505,48.5268,81.86,76,76,26.17,broken clouds
223,Vernon,CA,50.2581,-119.2691,56.12,58,100,5.01,overcast clouds
224,Imperia,IT,43.9667,7.7833,65.08,86,99,1.5,overcast clouds
225,Porto Novo,BJ,6.4965,2.6036,82.18,77,84,6.96,broken clouds
226,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.6,66,100,2.26,moderate rain
227,Takaka,NZ,-40.85,172.8,59.56,95,100,2.64,light rain
228,Chara,RU,56.9064,118.2631,33.03,80,37,1.25,scattered clouds
229,Rosita,NI,13.9268,-84.4032,92.52,45,57,6.22,broken clouds
230,Cayenne,GF,4.9333,-52.3333,85.08,1,75,14.97,broken clouds
231,Hamilton,US,39.1834,-84.5333,86.95,52,75,9.22,broken clouds
232,Grindavik,IS,63.8424,-22.4338,46.35,93,100,17.27,overcast clouds
233,Kuybysheve,UA,47.358,36.6491,54.57,90,29,9.31,light rain
234,Ziyang,CN,29.2497,117.8547,59.2,98,100,2.46,light rain
235,Vila Velha,BR,-20.3297,-40.2925,78.75,69,40,10.36,scattered clouds
236,Katsuura,JP,35.1333,140.3,64.29,88,100,19.91,overcast clouds
237,Maple Creek,CA,49.9168,-109.4848,57.61,47,34,13.8,light rain
238,Taoudenni,ML,22.6783,-3.9836,93.22,8,25,11.5,scattered clouds
239,Puerto Ayacucho,VE,5.6639,-67.6236,89.62,60,84,1.72,broken clouds
240,Rosarno,IT,38.4841,15.979,68.16,82,14,0.4,few clouds
