City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Paamiut,GL,2022-05-12 01:54:31,61.994,-49.6678,37.42,82,100,30.67
122,Khandyga,RU,2022-05-12 01:54:32,62.6667,135.6,34.9,99,9,3.0
123,Vila Velha,BR,2022-05-12 01:54:32,-20.3297,-40.2925,75.15,78,0,9.22
124,Deputatskiy,RU,2022-05-12 01:54:33,69.3,139.9,29.35,86,88,9.91
125,Dir,PK,2022-05-12 01:54:33,35.2058,71.8756,74.53,38,0,4.79
126,Wundanyi,KE,2022-05-12 01:54:34,-3.4019,38.364,57.69,90,39,2.59
127,Rawah,IQ,2022-05-12 01:54:34,34.4816,41.9093,69.4,29,22,9.46
128,Coihaique,CL,2022-05-12 01:52:02,-45.5752,-72.0662,40.24,93,92,3.85
129,Port Hardy,CA,2022-05-12 01:54:35,50.6996,-127.4199,48.38,71,75,20.71
130,Lakes Entrance,AU,2022-05-12 01:47:13,-37.8811,147.981,59.16,91,100,4.41
131,Flinders,AU,2022-05-12 01:54:36,-34.5833,150.8552,66.38,92,100,5.01
132,Cairns,AU,2022-05-12 01:54:35,-16.9167,145.7667,85.1,80,75,6.91
133,Makakilo City,US,2022-05-12 01:54:36,21.3469,-158.0858,82.15,52,40,16.11
134,Port Elizabeth,ZA,2022-05-12 01:54:37,-33.918,25.5701,53.31,92,0,3.0
135,Mazamari,PE,2022-05-12 01:55:38,-11.3258,-74.5308,68.27,98,17,1.97
136,Mitsamiouli,KM,2022-05-12 01:55:38,-11.3847,43.2844,78.69,67,13,11.25
137,Severnoye,RU,2022-05-12 01:55:39,56.3491,78.3619,55.11,36,100,5.93
138,Cassilandia,BR,2022-05-12 01:55:39,-19.1133,-51.7342,66.33,89,97,3.6
139,Aripuana,BR,2022-05-12 01:55:40,-9.1667,-60.6333,75.36,80,49,2.17
140,Russell,US,2022-05-12 01:55:40,32.3502,-85.1999,76.23,75,0,0.0
141,Orange,US,2022-05-12 01:55:41,33.7,-117.7675,68.47,43,0,4.0
142,Ziro,IN,2022-05-12 01:55:41,27.6333,93.8333,54.34,91,91,0.38
143,Malanje,AO,2022-05-12 01:47:16,-9.5402,16.341,63.46,70,66,3.24
144,Mareeba,AU,2022-05-12 01:55:42,-17.0,145.4333,80.47,82,68,3.49
145,Nizhniy Odes,RU,2022-05-12 01:55:42,63.6445,54.856,47.95,85,99,2.89
146,Dingle,PH,2022-05-12 01:55:43,10.9995,122.6711,87.84,64,55,10.25
147,Grand Gaube,MU,2022-05-12 01:55:44,-20.0064,57.6608,73.8,88,21,5.88
148,Georgetown,MY,2022-05-12 01:46:52,5.4112,100.3354,87.73,87,20,5.99
149,Saldanha,ZA,2022-05-12 01:55:44,-33.0117,17.9442,56.19,83,0,0.76
150,Airai,TL,2022-05-12 01:51:39,-8.9266,125.4092,74.61,57,60,2.01
151,Saskylakh,RU,2022-05-12 01:55:45,71.9167,114.0833,26.26,87,27,14.45
152,Broome,US,2022-05-12 01:55:45,42.2506,-75.833,60.1,48,1,1.01
153,Jalu,LY,2022-05-12 01:55:46,29.0331,21.5482,72.03,49,93,8.03
154,Port Lincoln,AU,2022-05-12 01:48:40,-34.7333,135.8667,63.59,66,4,3.74
155,Havre-Saint-Pierre,CA,2022-05-12 01:55:47,50.2334,-63.5986,43.16,75,0,8.05
156,Inhambane,MZ,2022-05-12 01:55:47,-23.865,35.3833,69.39,80,45,3.38
157,Ailigandi,PA,2022-05-12 01:55:48,9.2333,-78.0167,80.11,84,99,7.09
158,Luderitz,NA,2022-05-12 01:55:48,-26.6481,15.1594,55.47,71,0,10.38
159,Kodiak,US,2022-05-12 01:55:49,57.79,-152.4072,46.42,55,100,6.67
160,Verkhoyansk,RU,2022-05-12 01:55:49,67.5447,133.385,37.17,99,100,9.31
161,Piombino,IT,2022-05-12 01:55:50,42.9348,10.5221,58.66,71,19,1.99
162,Suluq,LY,2022-05-12 01:55:50,31.6682,20.2521,66.83,46,100,9.98
163,Ribeira Grande,PT,2022-05-12 01:47:21,38.5167,-28.7,59.13,70,87,11.99
